River,Location within the river,Predation level,Group or single,Group size,Number of approaches to the True stimulus,Number of approaches to the False stimulus,First approach (to True or False stimulus)
Aripo,lower,high,group,3,1,2,f
Aripo,lower,high,group,4,1,0,t
Aripo,lower,high,group,4,4,1,t
Aripo,lower,high,group,10,NA,NA,NA
Aripo,lower,high,group,6,1,0,t
Aripo,lower,high,group,12,2,0,t
Aripo,lower,high,group,3,1,0,t
Aripo,lower,high,group,3,1,0,t
Aripo,lower,high,group,5,2,2,t
Aripo,lower,high,group,5,0,1,f
Aripo,lower,high,group,3,NA,NA,NA
Turure,upper,low,group,NA,4,2,f
Turure,upper,low,group,3,3,2,t
Turure,upper,low,singleton,1,3,4,t
Turure,upper,low,singleton,1,0,0,NA
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,group,10,0,0,NA
Turure,upper,low,group,3,2,1,f
Turure,upper,low,singleton,1,1,0,t
Turure,upper,low,singleton,1,2,1,t
Turure,upper,low,singleton,1,1,1,t
Turure,upper,low,group,2,0,1,f
Turure,upper,low,group,3,1,1,t
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,group,6,2,4,f
Turure,upper,low,group,20,0,1,f
Turure,upper,low,group,2,0,0,NA
Turure,upper,low,group,3,0,2,f
Turure,upper,low,group,2,1,2,f
Turure,upper,low,group,2,0,1,f
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,group,10,1,1,t
Turure,upper,low,group,5,0,0,NA
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,singleton,1,1,0,t
Turure,upper,low,singleton,1,0,0,NA
Turure,upper,low,group,3,0,0,NA
Turure,upper,low,singleton,1,2,1,t
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,singleton,1,0,1,f
Aripo,lower,high,group,20,1,0,t
Aripo,lower,high,group,5,1,0,t
Aripo,lower,high,group,15,0,0,NA
Aripo,lower,high,group,10,0,0,NA
Aripo,lower,high,group,10,0,0,NA
Aripo,lower,high,group,2,0,1,f
Aripo,lower,high,group,10,0,0,NA
Aripo,lower,high,group,10,2,0,t
Aripo,lower,high,group,15,2,2,t
Aripo,lower,high,group,11,1,0,t
Aripo,lower,high,group,16,0,0,NA
Aripo,lower,high,group,25,2,1,t
Aripo,lower,high,group,3,2,0,t
Aripo,lower,high,group,4,0,0,NA
Aripo,lower,high,group,3,0,0,NA
Aripo,lower,high,group,4,1,1,t
Aripo,lower,high,group,NA,0,0,NA
Aripo,lower,high,group,NA,0,0,NA
Aripo,lower,high,group,4,0,0,NA
Aripo,lower,high,group,5,0,3,f
Aripo,lower,high,group,20,0,1,f
Aripo,lower,high,group,3,1,0,t
Aripo,lower,high,group,7,0,0,NA
Aripo,lower,high,group,14,0,0,NA
Aripo,lower,high,group,20,1,1,f
Turure,upper,low,group,15,4,5,t
Turure,upper,low,group,2,1,0,t
Turure,upper,low,group,4,6,3,f
Turure,upper,low,group,8,2,2,NA
Turure,upper,low,group,2,0,1,f
Turure,upper,low,group,3,0,1,f
Turure,upper,low,group,5,0,2,f
Turure,upper,low,group,8,5,4,f
Turure,upper,low,group,8,3,0,t
Turure,upper,low,group,4,5,2,t
Turure,upper,low,group,7,0,0,NA
Turure,upper,low,group,12,3,0,t
Turure,upper,low,group,4,1,4,t
Turure,upper,low,group,3,1,0,t
Turure,upper,low,group,9,1,0,t
Turure,upper,low,singleton,1,2,5,f
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,singleton,1,0,1,f
Aripo,lower,high,group,9,0,0,NA
Aripo,lower,high,group,15,1,0,t
Aripo,lower,high,group,8,0,0,NA
Aripo,lower,high,group,20,1,0,t
Aripo,lower,high,group,6,0,1,f
Aripo,lower,high,group,5,0,1,f
Aripo,lower,high,group,2,0,0,NA
Aripo,lower,high,group,5,0,0,NA
Aripo,lower,high,group,5,0,1,f
Aripo,lower,high,group,5,4,3,t
Aripo,lower,high,group,5,0,0,NA
Aripo,lower,high,group,7,0,0,NA
Aripo,lower,high,group,15,0,2,f
Aripo,lower,high,group,8,2,0,t
Aripo,lower,high,singleton,1,0,0,NA
Aripo,lower,high,singleton,1,0,1,f
Aripo,lower,high,group,3,0,1,f
Aripo,lower,high,group,2,4,0,t
Aripo,lower,high,group,10,2,4,t
Aripo,lower,high,singleton,1,1,1,t
Aripo,lower,high,singleton,1,0,1,f
Aripo,lower,high,singleton,1,0,0,NA
Aripo,lower,high,singleton,1,0,1,f
Turure,upper,low,group,3,1,4,f
Turure,upper,low,singleton,1,2,0,t
Turure,upper,low,singleton,1,2,1,t
Turure,upper,low,singleton,1,2,1,t
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,singleton,1,1,0,t
Turure,upper,low,group,5,1,1,t
Turure,upper,low,singleton,1,1,1,t
Turure,upper,low,singleton,1,2,3,f
Turure,upper,low,group,3,0,2,f
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,group,3,3,3,f
Turure,upper,low,group,9,2,1,f
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,singleton,1,1,0,t
Turure,upper,low,group,5,3,1,t
Turure,upper,low,group,2,2,0,t
Turure,upper,low,singleton,1,5,0,t
Turure,upper,low,singleton,1,1,0,t
Turure,upper,low,group,3,1,0,t
Turure,upper,low,group,2,1,0,t
Turure,upper,low,singleton,1,1,1,f
Turure,upper,low,group,2,1,1,f
Turure,upper,low,singleton,1,0,2,f
Turure,upper,low,singleton,1,2,2,f
Turure,upper,low,group,2,2,1,t
Turure,upper,low,singleton,1,2,3,f
Turure,upper,low,singleton,1,2,0,t
Turure,upper,low,singleton,1,3,1,t
Turure,upper,low,group,2,2,1,t
Aripo,lower,high,group,25,1,1,t
Aripo,lower,high,group,15,1,0,t
Aripo,lower,high,group,5,2,1,f
Aripo,lower,high,group,15,3,0,t
Aripo,lower,high,group,3,0,2,f
Aripo,lower,high,group,3,0,0,NA
Aripo,lower,high,singleton,1,1,1,f
Aripo,lower,high,group,6,1,0,t
Aripo,lower,high,group,2,0,1,f
Aripo,lower,high,group,10,0,0,NA
Aripo,lower,high,singleton,1,0,1,f
Aripo,lower,high,group,10,2,0,t
Aripo,lower,high,singleton,1,0,1,f
Aripo,lower,high,singleton,1,0,0,NA
Aripo,lower,high,singleton,1,0,0,NA
Aripo,lower,high,singleton,1,0,1,f
Aripo,lower,high,singleton,1,0,1,f
Aripo,lower,high,singleton,1,0,0,NA
Aripo,lower,high,group,4,2,4,f
Aripo,upper,low,group,4,2,0,t
Aripo,upper,low,group,8,1,7,f
Aripo,upper,low,group,4,1,0,t
Aripo,upper,low,group,3,0,0,NA
Aripo,upper,low,group,4,1,1,f
Aripo,upper,low,group,25,0,0,NA
Aripo,upper,low,group,6,1,0,t
Aripo,upper,low,group,4,0,1,f
Aripo,upper,low,group,20,2,0,t
Aripo,upper,low,group,6,0,0,NA
Aripo,upper,low,group,8,1,3,t
Aripo,upper,low,group,50,1,0,t
Aripo,upper,low,group,15,1,2,t
Aripo,upper,low,group,30,0,0,NA
Turure,lower,low,group,5,1,1,f
Turure,lower,low,group,4,2,1,f
Turure,lower,low,group,5,1,3,f
Turure,lower,low,group,10,1,0,t
Turure,lower,low,group,5,1,1,t
Turure,lower,low,group,10,0,0,NA
Turure,lower,low,group,10,2,0,t
Aripo,upper,low,group,4,5,0,t
Aripo,upper,low,group,15,6,4,f
Aripo,upper,low,singleton,1,2,1,t
Aripo,upper,low,group,4,2,2,f
